wrist_roll_L,wrist_roll_F,grip_L,grip_F,raw_L,raw_F
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.3,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.9,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
-0.8,-0.8,58.0,56.4,2376,2308
