wrist_roll_L,wrist_roll_F,grip_L,grip_F,raw_L,raw_F
-9.5,-9.2,1.0,2.7,3041,985
-9.5,-9.2,1.0,2.7,3041,985
-9.4,-9.3,1.0,2.7,3041,985
-9.5,-9.3,1.0,2.7,3041,985
-9.4,-9.3,1.0,2.7,3041,985
-9.5,-9.4,1.0,2.7,3041,985
-9.5,-9.3,1.0,2.7,3041,985
-9.5,-9.4,1.0,2.7,3041,985
-9.5,-9.4,1.0,2.7,3041,985
-9.4,-9.3,1.0,2.7,3041,985
-9.5,-9.4,1.0,2.7,3041,985
-9.5,-9.3,1.0,2.7,3041,985
-9.4,-9.4,1.0,2.7,3041,985
-9.5,-9.4,1.0,2.7,3041,985
-9.5,-9.4,1.0,2.7,3041,985
-9.5,-9.4,1.0,2.7,3041,985
-9.5,-9.4,1.0,2.7,3041,985
-9.4,-9.4,1.0,2.7,3041,985
-9.5,-9.3,1.0,2.7,3041,985
-9.5,-9.3,1.0,2.7,3041,985
-9.5,-9.4,1.0,2.7,3041,985
-9.5,-9.4,1.0,2.7,3041,985
-9.5,-9.3,1.0,2.7,3041,985
-9.5,-9.4,1.0,2.7,3041,985
-9.5,-9.4,1.0,2.7,3041,985
-9.4,-9.4,1.0,2.7,3041,985
-9.5,-9.4,1.0,2.7,3041,985
-9.4,-9.4,1.0,2.7,3041,985
-9.5,-9.4,1.0,2.7,3041,985
-9.5,-9.4,1.0,2.7,3041,985
-9.4,-9.4,1.0,2.7,3041,985
-9.4,-9.4,1.0,2.7,3041,985
-9.4,-9.4,1.0,2.7,3041,985
-9.5,-9.4,1.0,2.7,3041,985
-9.5,-9.4,1.0,2.7,3041,985
-9.4,-9.4,1.0,2.7,3041,985
-9.5,-9.4,1.0,2.7,3041,985
-9.5,-9.4,1.0,2.7,3041,985
-9.4,-9.4,1.0,2.7,3041,985
-9.5,-9.4,1.0,2.7,3041,985
-9.4,-9.4,1.0,2.7,3041,985
-9.5,-9.4,1.0,2.7,3041,985
-9.4,-9.4,1.0,2.7,3041,985
-9.4,-9.4,1.0,2.7,3041,985
-9.4,-9.4,1.0,2.7,3041,985
-9.4,-9.3,1.0,2.7,3041,985
-9.4,-9.3,1.0,2.7,3041,985
-9.5,-9.3,1.0,2.7,3041,985
-9.4,-9.3,1.0,2.7,3041,985
-9.4,-9.3,1.0,2.7,3041,985
-9.5,-9.4,1.0,2.7,3041,985
-9.5,-9.4,1.0,2.7,3041,985
-9.5,-9.4,1.0,2.7,3041,985
-9.4,-9.4,1.0,2.7,3041,985
-9.4,-9.4,1.0,2.7,3041,985
-9.3,-9.4,1.0,2.7,3041,985
-9.2,-9.3,1.0,2.7,3041,985
-9.2,-9.3,1.0,2.7,3041,985
-9.2,-9.3,1.0,2.7,3042,985
-9.1,-9.3,0.9,2.7,3042,985
-9.1,-9.3,1.0,2.7,3041,985
-9.1,-9.2,1.0,2.7,3041,985
-9.1,-9.2,1.0,2.7,3041,985
-9.1,-9.2,1.0,2.7,3041,985
-9.1,-9.2,1.0,2.7,3041,985
-9.2,-9.2,1.0,2.7,3041,985
-9.2,-9.2,1.0,2.7,3041,985
-9.2,-9.2,1.0,2.7,3041,985
-9.2,-9.2,1.0,2.7,3041,985
-9.2,-9.3,1.0,2.7,3041,985
-9.2,-9.2,1.0,2.7,3041,985
-9.2,-9.2,1.0,2.7,3041,985
-9.2,-9.2,1.0,2.7,3041,985
-9.2,-9.2,1.0,2.7,3041,985
-9.1,-9.2,1.0,2.7,3041,985
-9.1,-9.2,1.0,2.7,3041,985
-9.1,-9.2,1.0,2.7,3041,985
-9.1,-9.2,1.0,2.7,3041,985
-9.1,-9.2,1.0,2.7,3041,985
-9.1,-9.2,1.0,2.7,3041,985
-9.1,-9.2,1.0,2.7,3041,985
-9.1,-9.2,1.0,2.7,3041,985
-9.1,-9.2,1.0,2.7,3041,985
-9.1,-9.2,1.0,2.7,3041,985
-9.1,-9.2,1.0,2.7,3041,985
-9.1,-9.2,1.0,2.7,3041,985
-9.1,-9.2,1.0,2.7,3041,985
-9.1,-9.2,1.0,2.7,3041,985
-9.1,-9.2,1.0,2.7,3041,985
-9.2,-9.2,1.0,2.7,3041,985
-9.2,-9.2,1.0,2.7,3041,985
-9.2,-9.2,1.0,2.7,3041,985
-9.2,-9.2,1.0,2.7,3041,985
-9.2,-9.2,1.0,2.7,3041,985
-9.2,-9.2,1.0,2.7,3041,985
-9.2,-9.2,1.0,2.7,3041,985
-9.2,-9.2,1.0,2.7,3041,985
-9.2,-9.2,1.0,2.7,3041,985
-9.2,-9.2,1.0,2.7,3041,985
-9.1,-9.2,0.9,2.7,3042,985
-9.1,-9.2,0.9,2.7,3042,985
-9.1,-9.2,0.9,2.7,3042,985
-9.0,-9.2,0.9,2.7,3042,985
-8.9,-9.2,0.9,2.7,3042,985
-8.8,-9.2,0.9,2.7,3042,985
-8.7,-9.2,0.9,2.7,3042,985
-8.6,-9.1,1.0,2.7,3041,985
-8.4,-9.1,1.0,2.7,3041,985
-8.2,-9.0,1.0,2.7,3041,985
-8.0,-8.9,1.0,2.7,3041,985
-7.8,-8.8,1.0,2.7,3041,985
-7.5,-8.6,1.0,2.7,3041,985
